road,way_id,seq,lat,lon,average_green
Lloyd Street,1881588,1,51.580433,-2.963056,0.0002295
Western Avenue,2372923,1,51.584074,-3.03384,0.0830615
Spytty Road,4209081,1,51.576844,-2.949646,0.1570775
Spytty Road,4811058,1,51.575173,-2.954517,0.059363
Usk Way,4811059,1,51.574823,-2.98445,0.170094
Spytty Road,4811094,1,51.57619,-2.950307,0.159115
Spytty Road,4811095,1,51.575555,-2.953874,0.169265
Chepstow Road,4811152,1,51.591213,-2.990192,0.000116
The Coldra,4811153,1,51.599132,-2.933778,0.151969
Queen's Hill,4812083,1,51.594619,-2.9979,0.233585
Pentonville,4812098,1,51.590264,-2.999117,0.0104665
Fields Road,4812100,1,51.588623,-3.007716,0.126816
Clytha Park Road,4812109,1,51.588595,-3.007566,0.224773
Fields Park Road,4812174,1,51.589462,-3.006576,0.164983
Edward VII Avenue,4812193,1,51.587098,-3.010709,0.3598645
Glasllwch Crescent,4812569,1,51.584286,-3.034138,0.0507115
Forge Road,4989422,1,51.577257,-3.044877,0.437478
Caerleon Road,5061893,1,51.602213,-2.979796,0.3235885
Caerleon Road,5061895,1,51.602046,-2.980233,0.094619
Pillmawr Road,5061993,1,51.611382,-2.996785,0.2797705
Chepstow Road,5062054,1,51.589683,-2.977218,0.0288815
Usk Way,5086281,1,51.574414,-2.984573,0.057822
George Street Bridge,5086659,1,51.582841,-2.988401,0.20171
Wharf Road,5086660,1,51.589661,-2.977392,0.0476515
Cardiff Road,5086661,1,51.578156,-3.000493,0.2733715
Cardiff Road,5086662,1,51.56886,-3.017431,0.0892505
George Street Bridge,5086664,1,51.585667,-2.98207,0.1151075
Cardiff Road,5086668,1,51.570444,-3.01444,0.079003
Cardiff Road,5086669,1,51.572566,-3.01266,0.2702295
Cardiff Road,5086670,1,51.580411,-2.994701,0.3368625
Cardiff Road,5086671,1,51.572684,-3.012524,0.2759555
Cardiff Road,5086672,1,51.569267,-3.016205,0.0191405
Cardiff Road,5086673,1,51.578718,-2.997606,0.117052
Cardiff Road,5086675,1,51.570317,-3.014569,0.046155
Cardiff Road,5086676,1,51.580314,-2.994853,0.1601845
George Street,5086677,1,51.582809,-2.988579,0.14365
Cardiff Road,5086678,1,51.578184,-3.000315,0.2579735
Cardiff Road,5086679,1,51.568907,-3.017257,0.017727
Glasllwch Crescent,6187370,1,51.585541,-3.035867,0.0449915
Cefn Road,6187446,1,51.591761,-3.051993,0.4203955
